feature,importance
purchase_month,13.929302042324736
estimated_delivery_days,11.618079471727475
approval_delay_hours,4.999690720593326
purchase_day,4.871618075072626
customer_state,4.588326440350524
seller_lat_mean,4.584840292007747
customer_lat,4.351481502195192
customer_lng,4.3237330903677345
seller_lng_mean,4.090147495364113
customer_zip_code_prefix,4.034145578138836
customer_city,3.315051767250646
avg_freight,3.27358267028991
distance_km,3.1370415855342046
main_category,2.8890031024155975
main_seller_state,2.5408091759680813
avg_weight_g,1.995244400736806
avg_volume_cm3,1.924434871079143
total_freight,1.8439368137366976
total_volume_cm3,1.8091841893862148
purchase_weekday,1.7180716429360134
purchase_hour,1.6778945601343678
total_weight_g,1.5592312835455777
avg_photos_qty,1.4516072125216932
total_price,1.4072297515807108
avg_price,1.0103363646319885
cross_state,0.8942594518453332
payment_type_main,0.8631368837935116
payment_value_mean,0.8453033569083741
item_count,0.8113287041588265
payment_installments_max,0.7584980652682212
payment_value_total,0.705179919442983
max_price,0.6936327504757562
seller_count,0.6374312614303858
unique_product_count,0.36252483712642364
is_weekend_purchase,0.23603901982460868
is_credit_card_any,0.09356290493410081
seller_state_count,0.08863101991136844
payment_type_count,0.06644772498985137
