iter	Logloss
0	0.6873087988
1	0.6819355363
2	0.6769998628
3	0.6721978897
4	0.6677833834
5	0.6642398449
6	0.6610324412
7	0.6578153019
8	0.6541233093
9	0.6506853593
10	0.6471783438
11	0.6446768393
12	0.6413978859
13	0.6393757125
14	0.63637565
15	0.6338914687
16	0.6315286221
17	0.629163012
18	0.6266315853
19	0.6248368866
20	0.6230515016
21	0.6205888555
22	0.618468906
23	0.6167263985
24	0.6147334601
25	0.6127175109
26	0.6110998384
27	0.6093223418
28	0.608148053
29	0.6067099661
30	0.6054961816
31	0.6041745651
32	0.6028209914
33	0.6017200313
34	0.6004527666
35	0.5993568938
36	0.5981678959
37	0.5972169277
38	0.5957450025
39	0.5942174279
40	0.5929750296
41	0.5927693924
42	0.5921361093
43	0.5911657047
44	0.5902913693
45	0.5895544001
46	0.5882674644
47	0.5872933516
48	0.5869632546
49	0.5858748864
50	0.5852055021
51	0.5846942228
52	0.5839713356
53	0.5832908668
54	0.5826604103
55	0.5816181372
56	0.5809764097
57	0.5803907126
58	0.5797349094
59	0.5786738836
60	0.5780365173
61	0.5773483261
62	0.5763816376
63	0.5756809562
64	0.5751960251
65	0.5743278956
66	0.5736899858
67	0.5734377582
68	0.5731574029
69	0.5724168995
70	0.5717815602
71	0.5712159865
72	0.5707043943
73	0.570334703
74	0.5696096809
75	0.5690694184
76	0.5685179609
77	0.5678516904
78	0.5672906738
79	0.5669272993
80	0.5661835142
81	0.5657719616
82	0.5654029073
83	0.5648161451
84	0.5642677303
85	0.5639813988
86	0.5631989338
87	0.5625895777
88	0.5616716804
89	0.5613563323
90	0.5606996804
91	0.5605739134
92	0.5602202888
93	0.559818138
94	0.5593095555
95	0.5591562002
96	0.5591121968
97	0.5589438298
98	0.5588025129
99	0.5586583169
100	0.558389181
101	0.558090141
102	0.557501851
103	0.5567078828
104	0.5563091879
105	0.5557734547
106	0.5555480884
107	0.5553342931
108	0.5547781011
109	0.5544127421
110	0.5540811893
111	0.5536746846
112	0.5533602429
113	0.5527025163
114	0.5523090844
115	0.5518750566
116	0.5516481666
117	0.5515959191
118	0.5512826747
119	0.5509765965
120	0.5506529289
121	0.5503519582
122	0.5502482997
123	0.5498307231
124	0.5495666784
125	0.5491357974
126	0.5487673599
127	0.5482620345
128	0.5475996884
129	0.5471194608
130	0.5466082695
131	0.5462742432
132	0.5460403206
133	0.5456342652
134	0.5453303414
135	0.5449613428
136	0.5444845843
137	0.544253618
138	0.5436817893
139	0.543417012
140	0.5428791329
141	0.5424713909
142	0.542183117
143	0.5417077814
144	0.5414741235
145	0.5412375614
146	0.5409650901
147	0.5409229172
148	0.5405138106
149	0.5403465433
150	0.5402928667
151	0.5399551218
152	0.5393070452
153	0.5387366057
154	0.5383732603
155	0.5380047655
156	0.5375844403
157	0.5373200908
158	0.5372734069
159	0.5370397972
160	0.5366362668
161	0.5363797063
162	0.5361164073
163	0.5356060988
164	0.5351254666
165	0.5344753954
166	0.5340252085
167	0.5337956034
168	0.5334805647
169	0.5331539899
170	0.532954983
171	0.5327990219
172	0.5324593366
173	0.5319923706
174	0.5317799817
175	0.531366592
176	0.5313447852
177	0.5312259139
178	0.5309380939
179	0.5305428367
180	0.5301508921
181	0.5296374327
182	0.5293007861
183	0.5291524104
184	0.5289601705
185	0.5285417074
186	0.5282371443
187	0.5278895298
188	0.5275826714
189	0.5274557848
190	0.5273826336
191	0.5271138137
192	0.5266927498
193	0.5263964224
194	0.5259314497
195	0.5256836644
196	0.5253760983
197	0.5250397594
198	0.5246538711
199	0.5243714425
200	0.5240641375
201	0.5239690024
202	0.5236692381
203	0.5232726757
204	0.522913009
205	0.5226848594
206	0.5224183822
207	0.5221237556
208	0.5220488286
209	0.5218112038
210	0.5216101079
211	0.5211675523
212	0.520921691
213	0.5205802319
214	0.5204389799
215	0.5199294909
216	0.5195816793
217	0.5194026108
218	0.5192749343
219	0.5189661094
220	0.5186323889
221	0.518332781
222	0.5182699816
223	0.5179332254
224	0.5177664049
225	0.5176753837
226	0.5174226675
227	0.5171469395
228	0.5170956563
229	0.5170704929
230	0.5169097813
231	0.5167065779
232	0.5164206549
233	0.5161691138
234	0.5159666325
235	0.5157444692
236	0.5156348992
237	0.5153727616
238	0.5151092792
239	0.5147834071
240	0.5145733797
241	0.5142844559
242	0.5140551519
243	0.5138213973
244	0.5134017477
245	0.5131818595
246	0.5129288033
247	0.512650984
248	0.5122822114
249	0.5119526373
250	0.511528209
251	0.5113722296
