iter	Passed	Remaining
0	1011	2022838
1	1555	1553726
2	1727	1150127
3	1902	949359
4	2064	823651
5	2211	735121
6	2329	663192
7	2520	627562
8	2708	599072
9	2855	568305
10	3029	547868
11	3212	532271
12	3362	513873
13	3525	500156
14	3724	492818
15	3900	483705
16	4041	471382
17	4195	461956
18	4334	451950
19	4503	445825
20	4663	439497
21	4827	434058
22	5007	430417
23	5199	428086
24	5356	423126
25	5510	418389
26	5659	413559
27	5811	409293
28	5962	405251
29	6117	401683
30	6268	398128
31	6438	395942
32	6602	393576
33	6762	391044
34	6907	387809
35	7053	384824
36	7219	383036
37	7362	380120
38	7513	377794
39	7704	377518
40	7867	375926
41	7937	370032
42	8069	367272
43	8253	366902
44	8418	365751
45	8582	364581
46	8724	362537
47	8891	361572
48	8985	357776
49	9159	357213
50	9343	357055
51	9527	356897
52	9699	356337
53	9897	356668
54	10078	356406
55	10258	356116
56	10444	356031
57	10624	355752
58	10791	355011
59	10949	354046
60	11138	354057
61	11334	354305
62	11490	353299
63	11643	352200
64	11787	350917
65	11968	350714
66	12121	349700
67	12247	347980
68	12380	346462
69	12518	345164
70	12679	344497
71	12862	344423
72	13020	343718
73	13180	343045
74	13354	342772
75	13556	343182
76	13788	344345
77	13989	344715
78	14185	344940
79	14365	344774
80	14539	344467
81	14705	343976
82	14863	343285
83	15013	342443
84	15209	342665
85	15367	342010
86	15516	341180
87	15674	340568
88	15825	339797
89	16030	340206
90	16198	339812
91	16281	337668
92	16427	336860
93	16581	336222
94	16735	335593
95	16815	333513
96	16864	330860
97	16957	329108
98	17072	327833
99	17186	326550
100	17339	326019
101	17490	325463
102	17646	325012
103	17802	324554
104	17964	324211
105	18116	323699
106	18278	323377
107	18440	323055
108	18623	323093
109	18796	322961
110	18991	323205
111	19152	322860
112	19303	322347
113	19487	322391
114	19661	322275
115	19835	322158
116	20011	322062
117	20114	320816
118	20277	320513
119	20464	320609
120	20624	320272
121	20818	320471
122	20941	319574
123	21091	319094
124	21287	319308
125	21459	319174
126	21636	319096
127	21807	318934
128	21971	318666
129	22139	318465
130	22334	318654
131	22488	318250
132	22644	317871
133	22830	317922
134	23005	317817
135	23178	317684
136	23357	317623
137	23555	317829
138	23723	317617
139	23884	317317
140	24098	317729
141	24274	317619
142	24451	317523
143	24617	317289
144	24802	317305
145	24976	317165
146	25147	316989
147	25254	316028
148	25412	315689
149	25586	315570
150	25699	314692
151	25847	314255
152	26033	314268
153	26204	314108
154	26352	313677
155	26558	313933
156	26734	313832
157	26893	313525
158	26948	312022
159	27095	311596
160	27259	311373
161	27424	311154
162	27574	310768
163	27730	310441
164	27925	310565
165	28088	310329
166	28242	309996
167	28386	309545
168	28555	309384
169	28738	309357
170	28905	309172
171	29046	308699
172	29183	308198
173	29367	308185
174	29555	308218
175	29724	308056
176	29799	306915
177	29961	306688
178	30141	306633
179	30312	306496
180	30477	306291
181	30643	306094
182	30800	305821
183	30956	305524
184	31121	305324
185	31282	305090
186	31460	305018
187	31613	304704
188	31771	304436
